,day,price
701,2019-12-13,67.44
702,2019-12-16,68.04
703,2019-12-17,68.99
704,2019-12-18,69.12
705,2019-12-19,69.7
706,2019-12-20,68.66
707,2019-12-23,67.49
708,2019-12-24,69.26
709,2019-12-25,.
710,2019-12-26,69.26
711,2019-12-27,68.91
712,2019-12-30,68.3
713,2019-12-31,67.77
714,2020-01-01,.
715,2020-01-02,67.05
716,2020-01-03,69.08
717,2020-01-06,70.25
718,2020-01-07,68.74
719,2020-01-08,67.31
720,2020-01-09,66.58
721,2020-01-10,66.77
722,2020-01-13,64.14
723,2020-01-14,64.45
724,2020-01-15,63.29
725,2020-01-16,64.63
726,2020-01-17,64.05
727,2020-01-20,64.63
728,2020-01-21,63.66
729,2020-01-22,62.11
730,2020-01-23,61.26
731,2020-01-24,59.34
732,2020-01-27,58.54
733,2020-01-28,59.37
734,2020-01-29,59.46
735,2020-01-30,57.72
736,2020-01-31,57.77
737,2020-02-03,54.0
738,2020-02-04,53.9
739,2020-02-05,55.36
740,2020-02-06,55.18
741,2020-02-07,54.53
742,2020-02-10,53.39
743,2020-02-11,54.0
744,2020-02-12,55.54
745,2020-02-13,56.34
746,2020-02-14,57.37
747,2020-02-17,57.83
748,2020-02-18,57.35
749,2020-02-19,59.72
750,2020-02-20,59.57
751,2020-02-21,58.6
752,2020-02-24,56.71
753,2020-02-25,55.29
754,2020-02-26,54.96
755,2020-02-27,52.19
756,2020-02-28,51.31
757,2020-03-02,52.52
758,2020-03-03,52.24
759,2020-03-04,51.86
760,2020-03-05,51.29
761,2020-03-06,45.6
762,2020-03-09,35.33
763,2020-03-10,35.57
764,2020-03-11,34.45
765,2020-03-12,31.02
766,2020-03-13,32.25
767,2020-03-16,27.98
768,2020-03-17,27.97
769,2020-03-18,22.79
770,2020-03-19,23.98
771,2020-03-20,25.55
772,2020-03-23,23.75
773,2020-03-24,24.5
774,2020-03-25,25.62
775,2020-03-26,23.55
776,2020-03-27,22.39
777,2020-03-30,19.19
778,2020-03-31,14.85
779,2020-04-01,14.97
780,2020-04-02,20.24
781,2020-04-03,24.33
782,2020-04-06,22.58
