,Tid (Cet),Tilsynelatende energi (kVAh),Merkeytelse (kVA),Merkeytelse + 20% (kVA)
501,2018-01-21 21:00:00,75.2,315,378
502,2018-01-21 22:00:00,73.6,315,378
503,2018-01-21 23:00:00,72.0,315,378
504,2018-01-22 00:00:00,64.0,315,378
505,2018-01-22 01:00:00,65.6,315,378
506,2018-01-22 02:00:00,65.6,315,378
507,2018-01-22 03:00:00,67.2,315,378
508,2018-01-22 04:00:00,67.2,315,378
509,2018-01-22 05:00:00,64.0,315,378
510,2018-01-22 06:00:00,62.4,315,378
511,2018-01-22 07:00:00,65.6,315,378
512,2018-01-22 08:00:00,73.6,315,378
513,2018-01-22 09:00:00,81.6,315,378
514,2018-01-22 10:00:00,75.2,315,378
515,2018-01-22 11:00:00,70.4,315,378
516,2018-01-22 12:00:00,76.8,315,378
517,2018-01-22 13:00:00,72.0,315,378
518,2018-01-22 14:00:00,73.6,315,378
519,2018-01-22 15:00:00,70.4,315,378
520,2018-01-22 16:00:00,75.2,315,378
521,2018-01-22 17:00:00,76.8,315,378
522,2018-01-22 18:00:00,76.8,315,378
523,2018-01-22 19:00:00,78.4,315,378
524,2018-01-22 20:00:00,78.4,315,378
525,2018-01-22 21:00:00,76.8,315,378
526,2018-01-22 22:00:00,76.8,315,378
527,2018-01-22 23:00:00,76.8,315,378
528,2018-01-23 00:00:00,67.2,315,378
529,2018-01-23 01:00:00,64.0,315,378
530,2018-01-23 02:00:00,60.8,315,378
531,2018-01-23 03:00:00,64.0,315,378
532,2018-01-23 04:00:00,67.2,315,378
533,2018-01-23 05:00:00,62.4,315,378
534,2018-01-23 06:00:00,67.2,315,378
535,2018-01-23 07:00:00,75.2,315,378
536,2018-01-23 08:00:00,73.6,315,378
537,2018-01-23 09:00:00,81.6,315,378
538,2018-01-23 10:00:00,75.2,315,378
539,2018-01-23 11:00:00,70.4,315,378
540,2018-01-23 12:00:00,70.4,315,378
541,2018-01-23 13:00:00,68.8,315,378
542,2018-01-23 14:00:00,68.8,315,378
543,2018-01-23 15:00:00,67.2,315,378
544,2018-01-23 16:00:00,65.6,315,378
545,2018-01-23 17:00:00,80.0,315,378
546,2018-01-23 18:00:00,81.6,315,378
547,2018-01-23 19:00:00,88.0,315,378
548,2018-01-23 20:00:00,88.0,315,378
549,2018-01-23 21:00:00,78.4,315,378
550,2018-01-23 22:00:00,73.6,315,378
551,2018-01-23 23:00:00,72.0,315,378
552,2018-01-24 00:00:00,62.4,315,378
553,2018-01-24 01:00:00,60.8,315,378
554,2018-01-24 02:00:00,59.2,315,378
555,2018-01-24 03:00:00,57.6,315,378
556,2018-01-24 04:00:00,59.2,315,378
557,2018-01-24 05:00:00,62.4,315,378
558,2018-01-24 06:00:00,62.4,315,378
559,2018-01-24 07:00:00,60.8,315,378
560,2018-01-24 08:00:00,67.2,315,378
561,2018-01-24 09:00:00,68.8,315,378
562,2018-01-24 10:00:00,64.0,315,378
563,2018-01-24 11:00:00,64.0,315,378
564,2018-01-24 12:00:00,60.8,315,378
565,2018-01-24 13:00:00,62.4,315,378
566,2018-01-24 14:00:00,62.4,315,378
567,2018-01-24 15:00:00,67.2,315,378
568,2018-01-24 16:00:00,70.4,315,378
569,2018-01-24 17:00:00,65.6,315,378
570,2018-01-24 18:00:00,68.8,315,378
571,2018-01-24 19:00:00,76.8,315,378
572,2018-01-24 20:00:00,75.2,315,378
573,2018-01-24 21:00:00,70.4,315,378
574,2018-01-24 22:00:00,65.6,315,378
575,2018-01-24 23:00:00,75.2,315,378
576,2018-01-25 00:00:00,67.2,315,378
577,2018-01-25 01:00:00,67.2,315,378
578,2018-01-25 02:00:00,62.4,315,378
579,2018-01-25 03:00:00,59.2,315,378
580,2018-01-25 04:00:00,59.2,315,378
581,2018-01-25 05:00:00,64.0,315,378
582,2018-01-25 06:00:00,64.0,315,378
583,2018-01-25 07:00:00,64.0,315,378
584,2018-01-25 08:00:00,68.8,315,378
585,2018-01-25 09:00:00,76.8,315,378
586,2018-01-25 10:00:00,65.6,315,378
587,2018-01-25 11:00:00,62.4,315,378
588,2018-01-25 12:00:00,57.6,315,378
589,2018-01-25 13:00:00,60.8,315,378
590,2018-01-25 14:00:00,64.0,315,378
591,2018-01-25 15:00:00,67.2,315,378
592,2018-01-25 16:00:00,64.0,315,378
593,2018-01-25 17:00:00,70.4,315,378
594,2018-01-25 18:00:00,75.2,315,378
595,2018-01-25 19:00:00,81.6,315,378
