,price_oil,price_el
2020-01-05,609.16125,302.7954
2020-01-06,621.565,300.19
2020-01-07,605.1045,291.64874
2020-01-08,595.6531,262.89
2020-01-09,590.53796,270.72665
2020-01-10,592.99774,277.01584
2020-01-11,592.99774,248.91292
2020-01-12,592.99774,243.81459
2020-01-13,569.6337,266.8875
2020-01-14,572.9734,242.6825
2020-01-15,562.21136,243.65791
2020-01-16,573.4749,242.41042
2020-01-17,569.27,241.92583
2020-01-18,569.27,230.18916
2020-01-19,569.27,225.57834
2020-01-20,575.4526,226.26208
2020-01-21,570.0753,208.31
2020-01-22,558.70435,215.66542
2020-01-23,551.21747,206.45792
2020-01-24,533.68616,198.90709
2020-01-25,533.68616,203.82584
2020-01-26,533.68616,200.02959
2020-01-27,532.0642,208.46375
2020-01-28,542.46967,211.30125
2020-01-29,542.89355,212.30583
2020-01-30,531.85516,211.45041
2020-01-31,531.6227,191.13875
2020-02-01,531.6227,164.51584
2020-02-02,531.6227,173.23833
2020-02-03,496.68118,191.23125
2020-02-04,498.8337,193.40791
2020-02-05,511.9582,174.69833
2020-02-06,507.95947,166.20209
2020-02-07,504.64792,163.80875
2020-02-08,504.64792,138.835
2020-02-09,504.64792,114.72083
2020-02-10,493.28088,121.51083
2020-02-11,500.445,128.36125
2020-02-12,512.4287,132.6875
2020-02-13,521.7366,135.91417
2020-02-14,530.9708,132.92874
2020-02-15,530.9708,116.60375
2020-02-16,530.9708,90.64833
2020-02-17,534.5516,107.26708
2020-02-18,534.1579,108.121666
2020-02-19,554.95404,111.1525
2020-02-20,554.55505,98.575
2020-02-21,548.1619,87.52375
2020-02-22,548.1619,79.05
2020-02-23,548.1619,81.206665
2020-02-24,531.15155,93.98417
2020-02-25,516.6353,97.58625
2020-02-26,515.76666,103.78167
2020-02-27,489.91275,108.92667
2020-02-28,486.68048,110.886665
2020-02-29,486.68048,100.0725
2020-03-01,486.68048,95.61542
2020-03-02,490.70486,102.932915
2020-03-03,486.7201,102.15125
2020-03-04,480.44662,102.575
2020-03-05,475.39673,105.06084
2020-03-06,423.74255,118.92
2020-03-07,423.74255,108.83708
2020-03-08,423.74255,103.21
2020-03-09,338.5815,109.590836
2020-03-10,338.41653,104.674164
2020-03-11,330.2067,97.559166
2020-03-12,304.4148,92.22625
2020-03-13,322.8225,94.03792
2020-03-14,322.8225,93.098335
2020-03-15,322.8225,78.85
2020-03-16,287.3546,93.64833
2020-03-17,284.4549,85.97083
2020-03-18,240.2066,78.86833
2020-03-19,286.3212,81.003334
2020-03-20,280.539,93.25125
2020-03-21,280.539,89.652916
2020-03-22,280.539,83.77875
2020-03-23,278.5875,96.05708
2020-03-24,271.70502,84.84625
2020-03-25,279.258,79.6075
2020-03-26,253.39801,78.56625
2020-03-27,234.64719,71.82542
2020-03-28,234.64719,61.20125
2020-03-29,234.64719,55.710835
2020-03-30,203.79779,75.0975
2020-03-31,155.77649,61.606667
2020-04-01,157.3347,56.75083
2020-04-02,207.46,51.999584
2020-04-03,253.2753,45.632915
