,price_in_nok
2019-01-26,526.5880532741547
2019-01-27,526.5880532741547
2019-01-28,509.0158259487152
2019-01-29,518.2934204673767
2019-01-30,526.0340719985962
2019-01-31,525.3760340881348
2019-02-01,521.8509519767762
2019-02-02,521.8509519767762
2019-02-03,521.8509519767762
2019-02-04,526.0471718597412
2019-02-05,522.3757345294953
2019-02-06,528.6024466896057
2019-02-07,522.7275609397888
2019-02-08,527.444439716339
2019-02-09,527.444439716339
2019-02-10,527.444439716339
2019-02-11,531.4403715133667
2019-02-12,544.0267294692993
2019-02-13,546.2542224597931
2019-02-14,552.2047729492188
2019-02-15,569.6122460365295
2019-02-16,569.6122460365295
2019-02-17,569.6122460365295
2019-02-18,572.8393868160248
2019-02-19,567.4168596458435
2019-02-20,572.774382572174
2019-02-21,576.4028981494903
2019-02-22,576.255687675476
2019-02-23,576.255687675476
2019-02-24,576.255687675476
2019-02-25,549.208378200531
2019-02-26,556.1600464630127
2019-02-27,561.2456819057464
2019-02-28,556.2926608753204
2019-03-01,545.070906944275
2019-03-02,545.070906944275
2019-03-03,545.070906944275
2019-03-04,553.513798828125
2019-03-05,556.8451383972167
2019-03-06,559.7984297561646
2019-03-07,561.5550775146484
2019-03-08,578.5762132835388
2019-03-09,578.5762132835388
2019-03-10,578.5762132835388
2019-03-11,565.306348438263
2019-03-12,565.2612930965423
2019-03-13,569.4609179210663
2019-03-14,566.7919734191895
2019-03-15,565.8024541664123
2019-03-16,565.8024541664123
2019-03-17,565.8024541664123
2019-03-18,567.6580632209779
2019-03-19,574.2031888961792
2019-03-20,583.0870151042938
2019-03-21,580.4680589675903
2019-03-22,559.5274001979828
2019-03-23,559.5274001979828
2019-03-24,559.5274001979828
2019-03-25,576.0202589988709
2019-03-26,575.7523124313354
2019-03-27,578.361419391632
2019-03-28,571.8298707580566
2019-03-29,585.9913515853882
2019-03-30,585.9913515853882
2019-03-31,585.9913515853882
2019-04-01,593.4317315673828
2019-04-02,599.5057939910889
2019-04-03,593.2335028553008
2019-04-04,598.3814178466797
2019-04-05,601.0693094730378
2019-04-06,601.0693094730378
2019-04-07,601.0693094730378
2019-04-08,611.6746892547608
2019-04-09,606.979556274414
